Material_type,Core_size,Hydro_size,Surface_charge,Surface_area,Formation_enthalpy,Conduction_band,Valence_band,Electronegativity,Assay,Cell_name,Cell_species,Cell_origin,Cell_type,Exposure_time,Exposure_dose,Toxicity
Mn3O4,347,338,-16.4,14,-8.91,-4.65,-7.63,5.92,MTT,A549,Human,Lung,Cancer,24,0,Non-Toxic
Mn3O4,347,338,-16.4,14,-8.91,-4.65,-7.63,5.92,MTT,A549,Human,Lung,Cancer,24,1,Non-Toxic
Mn3O4,347,338,-16.4,14,-8.91,-4.65,-7.63,5.92,MTT,A549,Human,Lung,Cancer,24,5,Non-Toxic
Mn3O4,347,338,-16.4,14,-8.91,-4.65,-7.63,5.92,MTT,A549,Human,Lung,Cancer,24,10,Non-Toxic
Mn3O4,364,338,-23,39,-8.91,-4.65,-7.63,5.92,MTT,A549,Human,Lung,Cancer,24,0,Non-Toxic
Mn3O4,364,338,-23,39,-8.91,-4.65,-7.63,5.92,MTT,A549,Human,Lung,Cancer,24,1,Non-Toxic
Mn3O4,364,338,-23,39,-8.91,-4.65,-7.63,5.92,MTT,A549,Human,Lung,Cancer,24,5,Non-Toxic
Mn3O4,364,338,-23,39,-8.91,-4.65,-7.63,5.92,MTT,A549,Human,Lung,Cancer,24,10,Non-Toxic
Mn3O4,347,338,-16.4,14,-8.91,-4.65,-7.63,5.92,MTT,HT-29,Human,Colon,Cancer,24,0,Non-Toxic
Mn3O4,347,338,-16.4,14,-8.91,-4.65,-7.63,5.92,MTT,HT-29,Human,Colon,Cancer,24,1,Non-Toxic
Mn3O4,347,338,-16.4,14,-8.91,-4.65,-7.63,5.92,MTT,HT-29,Human,Colon,Cancer,24,5,Non-Toxic
Mn3O4,347,338,-16.4,14,-8.91,-4.65,-7.63,5.92,MTT,HT-29,Human,Colon,Cancer,24,10,Non-Toxic
Mn3O4,364,338,-23,39,-8.91,-4.65,-7.63,5.92,MTT,HT-29,Human,Colon,Cancer,24,0,Non-Toxic
Mn3O4,364,338,-23,39,-8.91,-4.65,-7.63,5.92,MTT,HT-29,Human,Colon,Cancer,24,1,Non-Toxic
Mn3O4,364,338,-23,39,-8.91,-4.65,-7.63,5.92,MTT,HT-29,Human,Colon,Cancer,24,5,Non-Toxic
Mn3O4,364,338,-23,39,-8.91,-4.65,-7.63,5.92,MTT,HT-29,Human,Colon,Cancer,24,10,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,CCK-8,HASMCs,Human,Aorta,Normal,24,0,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,CCK-8,HASMCs,Human,Aorta,Normal,24,4,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,CCK-8,HASMCs,Human,Aorta,Normal,24,8,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,CCK-8,HASMCs,Human,Aorta,Normal,24,16,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,CCK-8,HASMCs,Human,Aorta,Normal,24,32,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,CCK-8,HASMCs,Human,Aorta,Normal,24,64,Non-Toxic
