Material_type,Core_size,Hydro_size,Surface_charge,Surface_area,Formation_enthalpy,Conduction_band,Valence_band,Electronegativity,Assay,Cell_name,Cell_species,Cell_origin,Cell_type,Exposure_time,Exposure_dose,Toxicity
Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,0.001,Nontoxic
Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,0.01,Nontoxic
Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,0.1,Nontoxic
Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,1.0,Nontoxic
Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,5.0,Nontoxic
Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,10.0,Nontoxic
Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,20.0,Nontoxic
Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,50.0,Nontoxic
Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,100.0,Nontoxic
Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,0.001,Nontoxic
Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,0.01,Nontoxic
Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,0.1,Nontoxic
Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,1.0,Nontoxic
Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,5.0,Nontoxic
Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,10.0,Nontoxic
Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,20.0,Nontoxic
Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,50.0,Nontoxic
Al2O3,39.7,267.0,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,100.0,Nontoxic
CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,0.001,Nontoxic
CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,0.01,Nontoxic
CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,0.1,Nontoxic
CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,1.0,Nontoxic
CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,5.0,Nontoxic
CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,10.0,Toxic
CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,20.0,Toxic
CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,50.0,Toxic
CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,100.0,Toxic
CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,0.001,Nontoxic
CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,0.01,Nontoxic
CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,0.1,Nontoxic
CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,1.0,Nontoxic
CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,5.0,Nontoxic
CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,10.0,Nontoxic
CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,20.0,Toxic
CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,50.0,Toxic
CuO,46.3,239.0,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,100.0,Toxic
